newID, oldID, Notes
00,134521,
01,134176,
02,134521,
03,134740,
04,134788,
05,135403,
06,135568,eye-tracking starts 15 seconds late and ends 305 seconds early
07,135748,
08,135838,
09,135865,eye-tracking ends 680 seconds early
10,136123,eye-tracking ends 141 seconds early
11,136222,
